Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",How much of your time would you have preferred to work remotely last year?,"Thinking about your current job, how much of your time did you spend remote working in the last 3 months?","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",How much of your time would you have preferred to work remotely in the last 3 months?,"Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?",Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would encourage more remote working,Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would make changes to support remote working,Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - I would have more choice about whether I work remotely,"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.  
Please compare your productivity when you work remotely to when you work at your employer痴 workplace.  
Roughly how productive are you, each hour, when you work remotely?","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Caring and domestic responsibilities","On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you do remote work, how many hours would you spend doing the following activities? - Working","On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employer痴 workplace. Select the best aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employer痴 workplace. Select the worst aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction
1,1972,Female,Manufacturing,Food Product Manufacturing,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,90%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,80%,90%,Somewhat disagree,Somewhat disagree,Strongly disagree,I知 50% more productive when working remotely (or more),2,8,2,2,0.5,8,3.5,2,Difficulty collaborating remotely,Connectivity (internet connection),Connectivity (internet connection),Cyber security,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Cyber security,I have tasks that can't be done remotely,Caring responsibilities,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Cyber security,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My working relationships,Managing my personal commitments,My opportunities to socialise,Preparing for work and commuting,My working relationships,Managing my personal commitments,The number of hours  I work,My job satisfaction,The number of hours  I work,Managing my personal commitments,My opportunities to socialise
2,1972,Male,Wholesale Trade,Other Goods Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% less productive when working remotely,2,7,3,3,0,7,3,3,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Caring responsibilities,"IT equipment (computer, printer, etc.)","IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Management discourages remote working,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Lack of motivation,Management discourages remote working,My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My personal relationships,My opportunities to socialise
3,1982,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,6,1,6,5,5,2,7,7,Difficulty collaborating remotely,Caring responsibilities,Poor management,Lack of motivation,Poor management,Connectivity (internet connection),Poor management,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Lack of motivation,My organisation's software and systems,I have tasks that can't be done remotely,Lack of remote working skills,Caring responsibilities,Lack of remote working skills,I have tasks that can't be done remotely,My organisation's software and systems,Lack of motivation,Lack of remote working skills,My organisation's software and systems,The number of hours  I work,Preparing for work and commuting,Managing my personal commitments,Preparing for work and commuting,Preparing for work and commuting,Managing my family responsibilities,The number of hours  I work,My mental wellbeing,The number of hours  I work,My daily expenses,My mental wellbeing,My daily expenses
4,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,1,9,1,2,0,9,3,2,Feeling left out and/or isolated,Difficulty collaborating remotely,Cyber security,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My organisation's software and systems,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Lack of remote working skills,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,Lack of remote working skills,Lack of motivation,Lack of remote working skills,My work-life balance,Managing my family responsibilities,Preparing for work and commuting,My opportunities to socialise,My personal relationships,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My personal relationships,My job satisfaction
5,1991,Male,"Transport, Postal and Warehousing",Other Transport,Managers,Specialist Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,60%,90%,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,100% - All of my time,60%,Strongly disagree,Strongly disagree,Strongly disagree,I知 20% more productive when working remotely,1,8,13,2,0,6,15,3,Poor management,Difficulty collaborating remotely,Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Caring responsibilities,Lack of motivation,"IT equipment (computer, printer, etc.)",Caring responsibilities,Management discourages remote working,Difficulty collaborating remotely,Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities,Managing my personal commitments,My working relationships,Preparing for work and commuting,My daily expenses,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My opportunities to socialise,My job satisfaction
6,1989,Male,Retail Trade,Food Retailing,Sales ,Sales Support ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,40%,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,2,2,0,7,3,3,Feeling left out and/or isolated,Caring responsibilities,Feeling left out and/or isolated,Connectivity (internet connection),Poor management,I have tasks that can't be done remotely,Poor management,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My job satisfaction,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My mental wellbeing,My job satisfaction
7,1973,Male,Financial and Insurance Services,Finance,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,70%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,8,4,1,0,8,5,3,Poor management,Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,Poor management,Feeling left out and/or isolated,Management discourages remote working,Feeling left out and/or isolated,Cyber security,"IT equipment (computer, printer, etc.)",My organisation's software and systems,"IT equipment (computer, printer, etc.)",Management discourages remote working,"IT equipment (computer, printer, etc.)",Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My daily expenses,My working relationships,My work-life balance,The number of hours  I work,My daily expenses,The number of hours  I work,My daily expenses,Managing my personal commitments
8,1992,Male,Manufacturing,Polymer Product and Rubber Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,90%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,I知 30% less productive when working remotely,1,8,4,3,0.4,6,4,6,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Lack of motivation,I have tasks that can't be done remotely,Connectivity (internet connection),Poor management,Connectivity (internet connection),Lack of motivation,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Cyber security,I have tasks that can't be done remotely,Cyber security,Cyber security,Management discourages remote working,My on-the-job learning opportunities,My work-life balance,Preparing for work and commuting,Managing my family responsibilities,My job satisfaction,Managing my family responsibilities,My mental wellbeing,The number of hours  I work,My job satisfaction,The number of hours  I work,Managing my personal commitments,My job satisfaction
9,1977,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Single person,More than 5 years,Metro,60%,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,60%,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I知 30% more productive when working remotely,0,8,12,4,0,8,13,1,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of remote working skills,Caring responsibilities,Cyber security,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Management discourages remote working,Lack of remote working skills,Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Cyber security,I have tasks that can't be done remotely,My work-life balance,The number of hours  I work,My mental wellbeing,My opportunities to socialise,My daily expenses,My job satisfaction,My mental wellbeing,The number of hours  I work,My job satisfaction,The number of hours  I work,My mental wellbeing,Managing my personal commitments
10,1985,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,Specialist Managers,More than 200,No,Group household,More than 5 years,Metro,20%,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,20%,40%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% less productive when working remotely,3,8.5,4,2,1,8.5,6,2,Feeling left out and/or isolated,Poor management,Lack of motivation,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of motivation,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Managing my personal commitments,My opportunities to socialise,My daily expenses,My job satisfaction,My daily expenses,My opportunities to socialise
